region,ASTRO,CHANDELIER,ENDO,L2_3_IT,L4_IT,L5_ET,L5_IT,L5_6_NP,L6_CT,L6_IT,L6_IT_CAR3,L6B,LAMP5,LAMP5_LHX6,MICRO_PVM,OPC,OLIGO,PAX6,PVALB,SNCG,SST,SST_CHODL,VLMC,VIP
7Networks_LH_Vis_1,0.0292517966004888,0.0150759850418571,0.0064938379594451,0.2122800438114441,0.0414773050573795,0.0006793517198902944,0.2142496926018094,0.0444677492061776,0.0214961718301663,0.1040961593216732,0.0177910638253711,0.0403692507683471,0.0178798480439793,0.046251631579253,0.0055774633263675,0.0205096973744054,0.01769191157316,0.0052110645288973,0.0069611619613604,0.0361492828067765,0.0516086363339955,0.0077970760143833,0.0123931584028339,0.0242406603105372
7Networks_LH_Vis_2,0.0477258015684592,0.0281369083791171,0.0021612328518684,0.2236496611586877,0.0203264764505701,0.0001,0.1353309844366245,0.0527357550370955,0.052416625724298,0.0661533583396664,0.0232423964127138,0.0372327511319218,0.0157199970120374,0.0361320158850284,0.017605444080762,0.0314675871358617,0.0211501722559417,0.013763075025565,0.0045590109133974,0.0630723324713066,0.0351905155557515,0.0078281978358731,0.0087919609906031,0.0556077393468486
7Networks_LH_Vis_3,0.0001,0.0359352195787188,0.0001,0.0952558874638894,0.0927623015710849,0.0001,0.1924765497392739,0.0645709347489544,0.0088576511625637,0.0622491202430399,0.0001,0.0438291574345832,0.0180654056177541,0.0100095661269364,0.0001,0.2664525576608306,0.0102269938582031,0.044421284291096,0.0157495075555971,0.0001,0.0236260626578249,0.005402123390225,0.010109676899424,0.0001
7Networks_LH_Vis_4,0.0241413770829504,0.0001,0.0081153896571896,0.2906564339918823,0.1949892302982654,0.0115080395430612,0.0967921694468141,0.0413878220273421,0.0119399648643272,0.0808120218731821,0.0017736371555373,0.0307020189643797,0.0187722862430162,0.0296981704685077,0.0029997473023448,0.0819916381362885,0.0059518139872014,0.0202597203863673,0.0176603407633973,0.0180671446255975,0.0011439855335538,0.0005649306111748289,0.0100721170376181,0.0001
7Networks_LH_Vis_5,0.0095937813623689,0.0188969776691145,0.0140994327600404,0.2018789654560573,0.2050772772742598,0.0590819403892752,0.0005789405308890972,0.0200415426567352,7.153673985294714e-05,0.1408957482000739,0.0010606545996089,0.0059406432718068,0.0424150361551504,0.0203638957852639,0.0041484159058979,0.1116442903432816,0.0001,0.023323357446984,0.0424979383356082,0.0057764563462953,0.0017780719600473,0.0003790494437599143,0.0200115112668755,0.0504445361007522
7Networks_LH_Vis_6,0.0166223981518001,0.00061172312071852,0.011673922599679,0.2592204310266902,0.2808550685616418,0.0161042569089489,0.0349409487243602,0.0177444871367968,0.0080168894299578,0.06183819269611,0.0001,0.0085009495947585,0.0275635014761063,0.028315703580564,0.002688531601159,0.0976094030640859,0.0015629367587925,0.0183612389129622,0.0673329681148298,0.0037580427512308,0.0012752738805677,0.0001,0.013558278750948,0.0218448531572911
7Networks_LH_Vis_8,0.0147323973603494,0.0144077306782839,0.0103595281098506,0.2067197322987356,0.1816522178684266,0.0075177039172387,0.1202661066195036,0.0414585747801297,0.0084653987309638,0.051968719435418,0.0140362532732788,0.0354625666852571,0.0386304104352637,0.0154145969441806,0.0078651459962503,0.1023513127279638,0.0111859005344335,0.0265530369262168,0.0437011848698313,0.009087619200923,0.0151584532641617,0.0011586992544513,0.0074721593423014,0.0143745507465855
7Networks_LH_Vis_9,0.0145882788247041,0.0001,0.0089024535063646,0.1270397373285365,0.439883414084978,0.0221252582617056,0.009013539755605,0.0164316846608672,0.0197425828805062,0.0042429827545855,0.0125780755462616,0.0001,0.0310279996452744,0.0110704441622313,0.0180047014099937,0.1077321784982652,0.00092762241613069,0.016232128042412,0.0898824057693373,0.0001,0.0029247546052658,0.0011662668259087,0.0062062711870616,0.0402772198340044
7Networks_LH_Vis_10,0.0036253993091876,0.0004129912514715672,0.0100757511775851,0.1482556364608728,0.3895121584533267,0.0404093682322182,0.0214435802184198,0.0162695986612165,0.0504766652458042,0.0573519143911897,0.0001,0.016562779775684,0.0351332293331838,0.0207700780372875,0.0123677592387648,0.0567911425987687,0.0008741315740823944,0.005239770266481,0.0203440246752676,0.0071169417859469,0.0054699252864088,0.0004182438125869243,0.0114489464425133,0.0696299637717313
7Networks_LH_Vis_11,0.0232560937269798,0.019810112023657,0.0146741047742831,0.1115629164524697,0.4384523619134858,0.0354129055608377,0.0206790882746641,0.0172766374242364,0.0419976275714708,0.0810239627232103,0.0079087925155618,0.0242411807110148,0.0318190869673128,0.0172470794877611,0.0032058825820346,0.0181785428374698,0.0008101381053743815,0.0001,0.0418871661703397,0.0032093605672288,0.0129765688592043,0.0001,0.0048243223704533,0.0295460683809488
