cell_type,Visual,SomatoMotor,Dorsal Attention,Ventral Attention,Limbic,Frontoparietal,Default Mode
ASTRO,-1.3861052184453937,-1.2050374361023337,0.026887511285412547,0.7452031604367639,1.5531549316291682,-0.4750809209515924,1.307510348166132
CHANDELIER,-1.0175696387891702,-1.0384180916125123,-0.7927640528774983,1.8177340987693942,2.4785808784599372,-0.5549725070165995,-0.11734488452098295
ENDO,0.8184626405569383,1.4088020742131084,0.20674046970180812,0.21571169730665846,-2.396948818356746,-0.22787466529737327,-0.7678330843413183
L2_3_IT,0.09802640490126323,-2.170778582715739,2.4994277307745265,-0.5546728912196602,-0.41993233016065007,2.161121693766159,0.2814518746515028
L4_IT,2.308542771311503,0.905492829613316,-0.3157451756412202,-1.9818831626206272,-1.236085915026164,-1.3668312840721972,-1.5545299079235224
L5_ET,-0.6125509562482967,1.5684449238144558,0.22149150393518416,0.21019990929278673,-0.9803042814658242,0.17361874695151094,-0.3582742974697518
L5_IT,-1.6450844230649633,-2.302216985082141,1.970881574209278,-1.0647830792042883,0.6488186255666402,2.9817386276873092,2.0515506878341685
L5_6_NP,-0.6337679751564277,-2.025399517544595,-0.20367474526509494,1.421489156805223,-0.10543479347758145,0.5471709711070498,2.3330213074264554
L6_CT,-0.6106344449199568,1.7915917382608686,-1.0453229687298602,1.3667345747118336,-0.4848558662482544,-1.4349675436606113,-0.16372625302199836
L6_IT,-0.7761753717898164,0.9518528852521017,-0.33904731814145256,2.340522554418104,0.6485890470040946,-2.194593259174501,-1.1110852109743379
L6_IT_CAR3,-0.6579237558961517,-0.30852054259704853,-1.2747192697800678,2.7860604294105573,1.8380613484427024,-0.7901231548169129,-0.16609315265787067
L6B,-1.2079760909679287,-0.7373038600890833,-2.0483593251369365,1.7501509035421956,1.2754133812692672,1.0974395482374024,1.9366872000975301
LAMP5,1.4952865825893158,0.42857149032657377,0.41436484207807,-1.3231756400695667,-2.098528960891131,0.1909533560579613,-0.03706772595730303
LAMP5_LHX6,-1.0584760714803618,-0.6390564417760425,-0.48003039767453676,2.052445504112881,2.2525667874263036,0.3776418365811241,-0.8419940502692441
MICRO_PVM,-0.3398310790981222,-1.2435794537917102,-0.13338109414217564,0.6173537823631088,3.2683195288032554,-1.0967151426035637,0.25741405965121816
OPC,0.15666236126104507,2.4364129529792087,-0.5583419018102467,-2.2215202987264826,-1.1749319784127583,-0.40190075448741674,0.5715042673304872
OLIGO,-0.9091453615190837,-1.5783096221741695,-1.3597003212588086,1.6149394329209183,2.30840109893163,-0.347788967732119,0.9072855605607305
PAX6,-1.824434363544874,-0.6880462496060902,-0.6360899564009823,1.6577506410286451,0.27733725176246765,1.4397209011489094,1.27049744318848
PVALB,1.4248461248149409,0.8566326026818878,1.2983009562252972,-3.156384688376859,-2.057820937638472,0.9963912483171988,-0.9585275787844766
SNCG,-1.2055660034969895,-1.9098430073251165,-0.8372207899514554,1.0028343272503366,2.6087274987244404,0.7986468746027523,1.5247902267513362
SST,-0.8722973274511996,-1.5262226225419924,-1.0461630974419804,1.6553052905693855,2.04076731950459,-0.3476729393243528,1.2501004327248926
SST_CHODL,-1.2665815821399409,-0.33479909673569347,-0.7800719363051717,1.4818868423384146,2.3264820400181425,-0.4754736970886371,1.333732079576596
VLMC,1.229344583020669,0.14935605911496452,1.347421744959278,-0.39019100274257806,-1.1114830337151917,-1.096835013836568,-1.578925278742901
VIP,-1.612882657591195,1.5383555101877868,0.13420417158424716,1.998346026366929,-0.9872460998957445,-0.5492875969425567,-0.029417195295975036
