region,total_similarity_strength
2,0.0358998237432155
3,0.04105801717893205
5,0.0369883563309039
7,0.04074103568691401
8,0.041991075813603215
10,0.04133438200564882
11,0.03359460887047862
14,0.04191865419730727
15,0.036875394576700644
17,0.03899132694285988
18,0.04381786817988189
20,0.045218662088996414
23,0.03709649435349438
24,0.037438714938331626
25,0.03763073672351803
27,0.03705316794031695
28,0.045185044066895594
29,0.0395702985806343
30,0.04330777839869589
31,0.040504771626540016
32,0.042342045934668435
34,0.038415479387574517
35,0.04266142876857701
37,0.040218017871387055
38,0.04377489805863193
39,0.042378095504453664
41,0.043990988402051456
43,0.03856178989944098
44,0.04656202234029096
45,0.039649469167011175
46,0.040912651593376315
47,0.043307829218357075
49,0.03271116589352756
50,0.045794276354339615
51,0.0405781482977703
52,0.03812421679412107
53,0.04160203636179006
55,0.04598381580055315
56,0.03770433426794763
57,0.03264924010819921
59,0.03470134888008716
60,0.038929586645124456
61,0.041488126347850776
62,0.04087988973749994
63,0.044991101790403026
64,0.03366716914094986
65,0.04834776959892616
66,0.041184278046777024
67,0.044510520600648744
68,0.03955596703610526
69,0.04545561653117884
71,0.03447566822156342
72,0.04439362166796236
73,0.043487568820603464
74,0.03454342861260265
75,0.044402450490861334
76,0.046812197592932606
77,0.040558183510870836
78,0.041463486567276456
79,0.04406814766037655
80,0.03774906933126866
81,0.04231311934706654
82,0.042191629344673826
84,0.038641604178658286
85,0.04051210608358905
86,0.04237495762325798
87,0.037814199305945755
89,0.0422898729596224
90,0.04311297824884404
91,0.03771832897678257
92,0.044428888905369765
93,0.04009920240258462
94,0.041676881450589495
95,0.03924514918956202
96,0.04241855430109208
97,0.04530489513140168
98,0.03977650722352135
99,0.04336214192233914
100,0.04027480727963924
101,0.03677583714337497
102,0.043559177804026586
103,0.03561100441560013
107,0.038057262416563445
108,0.04317387477437392
109,0.049060224992382925
110,0.03347913768921863
111,0.044114700494806036
112,0.03209468731478214
113,0.03753772528583176
114,0.04269712967866758
115,0.040775638358540416
116,0.04419755898121021
117,0.042534998221775616
120,0.043580179327558775
121,0.046636756673464425
122,0.04851665098366067
123,0.043331198500696465
124,0.04001719299617937
125,0.048373818286455796
126,0.03184877931978858
127,0.04600221071199895
128,0.04420412378796376
129,0.041851836935366725
130,0.04070493668984382
131,0.04395032707830383
132,0.04010924980590883
133,0.03734011724767715
134,0.043418339465692436
135,0.04001455164584722
136,0.043613365596612316
137,0.045713699316499774
140,0.03994543612496297
141,0.035417467032543594
142,0.039158627237521254
143,0.04606819672973385
144,0.03852047117032348
145,0.04485884012266301
146,0.038016462021415606
148,0.04092832089253749
149,0.0387643282434936
150,0.04044127952557476
151,0.041465795352146895
152,0.04114844977420907
153,0.03488779989574982
154,0.03425094012012701
155,0.04171678080498932
159,0.04092353434307526
160,0.04120670331192851
165,0.042593586706982545
166,0.04331885830511987
172,0.045140548916817534
174,0.04066960069128918
184,0.04083733289160767
185,0.03064936491501359
187,0.03745973384883821
188,0.04125085518543342
194,0.047327458395069674
195,0.03340571897695459
218,0.042457860186458
224,0.04066259014653534
