"","yeo_label","p_value","t_value","intercept","slope"
"1","Default Mode",1.67384200973294e-06,-5.29303255747296,0.00113382393193651,-9.97539740815365e-05
"2","Visual",0.513785956580594,0.656728330096854,-0.000173258386807755,1.52432949598323e-05
"3","SomatoMotor",0.00997521084509559,-2.65841228664552,0.000700518829547524,-6.16317359318283e-05
"4","Frontoparietal",1.15976969634019e-08,-6.57574424065899,0.00149367514193692,-0.000131413729414315
"5","Limbic",0.000789990595588431,-3.52995314267194,0.00112278285812833,-9.87825790002617e-05
"6","Dorsal Attention",0.922993951224196,0.097057313344629,-1.9281163144934e-05,1.69635919162158e-06
"7","Ventral Attention",3.46788013356395e-06,-5.09835812013696,0.00144585386550154,-0.000127206407416861
"8","Whole Brain",0.000207877515707702,-3.94222833060303,0.00091771400115238,-8.07405948196311e-05
