"yeo_label","p_value","t_value","intercept","slope","intercept_demeaned","slope_demeaned"
"Default Mode",9.99660672523633e-06,-4.81759897545278,0.0401737332874404,-8.63927565633866e-05,0.039191775667816,-8.63927565633788e-05
"Visual",0.138785524930307,1.49995030658078,0.0420860749019094,3.46543031652286e-05,0.0424799627508426,3.46543031652207e-05
"SomatoMotor",0.0621737783280109,-1.8999167655278,0.0408333149780237,-4.29951929588816e-05,0.0403446228814539,-4.29951929588367e-05
"Frontoparietal",5.38796095989871e-08,-6.19944625180784,0.0437033547490871,-0.000130252799826502,0.0422228749686606,-0.000130252799826514
"Limbic",0.00307209900536239,-3.08339188379906,0.041509064574584,-7.6399987326083e-05,0.0406406867998875,-7.63999873260756e-05
"Dorsal Attention",0.163783165222837,1.40943959228347,0.0398577137037751,2.30100723368924e-05,0.0401192508598771,2.30100723368788e-05
"Ventral Attention",1.1872623513154e-05,-4.77007170927517,0.039902577905576,-0.00011910896992062,0.0385487611594485,-0.000119108969920586
"Whole Brain",0.00140284935219833,-3.3470439483926,0.0410636703391885,-6.43825464762142e-05,0.0403318852382211,-6.43825464753454e-05
