region,L4,OPC,ASC,PV_CHC,RELN,L4/OPC,L4/PV_CHC,L4/RELN,L4/ASC,OPC/PV_CHC,OPC/RELN,OPC/ASC,PV_CHC/RELN,PV_CHC/ASC,RELN/ASC,L4/OPC/PV_CHC,L4/OPC/RELN,L4/PV_CHC/RELN,OPC/PV_CHC/RELN,L4/OPC/ASC,L4/OPC/PV_CHC/RELN,L4/OPC/PV_CHC/RELN/ASC
2,-1.44640349043073,-1.47252937209735,-1.5036564914237,-1.09647833429149,-1.49606320037315,-1.43230610797279,-0.92920192160913,-1.44244335977825,-1.43006838397719,-1.09862817068142,-1.47573341965787,-1.4899418296865,-1.0639047699963,-1.04438655244089,-1.50841378518582,-0.898441823798123,-1.43264918530322,-0.858258816553767,-1.0610558498475,-1.46439802884163,-0.795809164131059,-0.837680045023981
3,8.32882393848598e-05,-0.140028679986177,-0.275681252867618,-0.239069819391604,-0.00955420088259653,0.000150780579899609,0.001498952215378,0.18328514789395,-0.296372530549357,-0.269296508330939,-0.0100856655312521,-0.256990025821101,0.0122875730391089,-0.0799982981880172,-0.153068797001223,0.00137169066961405,0.179958959551777,0.387883872280164,0.0190744181269783,-0.358662028937111,0.509996253872581,0.18135024364809
5,-1.47232025201405,-1.36273382464942,-1.38334807374511,-1.14101693671174,-1.22423642259867,-1.48911927594505,-1.35725615734563,-1.3492942888801,-1.75743952071507,-1.02127834672661,-1.2547714193392,-1.39381525230726,-0.918841948490026,-1.05487285722222,-1.25633335108106,-1.20217246641061,-1.36332501059399,-1.08711016953445,-0.726737603501626,-1.77226360468382,-0.794686684403714,-1.10255592769233
7,-0.403433680294802,-0.214783982742015,0.0109179367776948,-0.322727328291676,-0.400135316962391,-0.443876792516847,-0.82681070080293,-0.748320627797,-0.12646588668894,-0.146695274006902,-0.452558022852844,-0.046741953520393,-0.829081389772846,-0.541997613238555,-0.271545124111048,-0.636946919557,-0.77028745684979,-1.60941152813656,-0.696459852710457,0.0397547230004083,-1.60242760190661,-1.48853207590777
8,-1.27359613043012,-1.22606805002158,-1.18912605540995,-1.12885671008249,-1.27203484685191,-1.28799312428994,-1.24724035278899,-1.36863192374809,-1.29566137800576,-1.04606097252099,-1.29083641830209,-1.2040582655678,-1.25880399210507,-1.13737958063908,-1.28353210093224,-1.13375499870552,-1.37696504207466,-1.44765429295598,-1.17717564988414,-1.26179614020108,-1.36005898779896,-1.60601197306386
10,-0.922368273834216,-0.958520455134515,-1.01907948337658,-0.669195918145373,-1.16222249012366,-0.872760057543943,-0.386864589133484,-1.06758083980696,-0.761163991396317,-0.840735671657411,-1.08796144005507,-0.977651460837388,-0.875481059779374,-0.655423978483284,-1.18639577164311,-0.617489886506795,-1.03017541778807,-0.626609635163703,-1.13110677648295,-0.860138306248182,-1.01401737668884,-1.50889195771872
11,-0.581276214043641,-0.402201462314807,-0.364234710063257,-0.13753463155508,-0.301706371855621,-0.586987712692308,-0.435923709744774,-0.491784830169587,-0.675157557803225,-0.051852849014164,-0.318215834891043,-0.37540758836607,0.0468296303494508,-0.140582730487612,-0.229365338431655,-0.354783979835963,-0.497432990504321,-0.23015312576475,0.189047670974776,-0.6795592245136,-0.0563322889221436,0.0285095050650813
14,-0.75668739338366,-0.722729526633437,-0.631706762466832,-0.891515879212667,-0.678640599937368,-0.816627232345359,-1.18318873006089,-0.83381225185076,-0.885014103727999,-0.655938800371316,-0.760703179149001,-0.68378285608863,-1.01498521544404,-0.912739109226027,-0.709437949727094,-0.848051523887486,-0.874361207122954,-1.40269001348618,-0.737729545050149,-0.751550299750101,-1.02221026814623,-1.07290214639151
15,1.13514460904905,0.804333187263765,0.788104687246295,0.902754283778707,0.691310744589883,1.08851662394532,1.39601013698312,0.93914033905451,1.11282166007781,1.08985557171062,0.643361174745611,0.763563763226994,0.571008131400422,1.00809796962305,0.492826947544536,1.81841996378485,0.910105138961427,1.01945908287515,0.749509992289867,1.23292389863406,1.47197991559836,1.36770036081106
17,0.628080232007357,0.510748228400595,0.481548455282769,-0.119275423257055,0.582102146438145,0.633597148799384,-0.0131249898778213,0.745574300613065,0.68723393087733,-0.258429717072141,0.590271265796967,0.490593112396804,-0.0109385976676044,-0.163027484021777,0.593612158108723,-0.225906818460981,0.747274939424501,0.153791448654444,-0.168499583572256,0.684881712939064,-0.0802696814177261,0.339583571596473
18,-1.2358177826365,-1.27875039201515,-1.30203290971451,-1.69778464138412,-1.25449481381102,-1.24948024974479,-1.7534841753406,-1.22870120342965,-1.35667919369489,-1.71216588097134,-1.27221323073961,-1.30776692326703,-1.72934256689528,-1.68785523170195,-1.32012326253053,-1.79157899964668,-1.23840096441714,-1.80842716071468,-1.75377467113917,-1.34547652218923,-1.87995105049821,-2.20339945133496
20,1.42792445431111,1.44024627413333,1.40764574842806,1.80507940593698,1.33483040235104,1.46038378196373,1.96679956223273,1.36314875646469,1.52090164384983,1.7259485668607,1.38132559529859,1.43334426347382,1.73837547083841,1.82506845078716,1.33960825334652,1.86950491463471,1.38707146225357,1.90344320142304,1.62613922057089,1.4535713293328,1.75533848764876,1.57611637076978
23,-0.721956929757451,-0.640617799625978,-0.532100243472483,-0.210752489641071,-0.843251901913327,-0.681580665296899,-0.146496193840477,-0.901577184842639,-0.193140603737091,-0.307531215678481,-0.784735640607339,-0.519288120814716,-0.440030585778914,-0.378606447899264,-0.641776985498805,-0.296663845011385,-0.870001557633788,-0.45309078738411,-0.604555696956949,-0.190393803715059,-0.752803732121068,-0.0626155962109808
24,-0.40956150530745,-0.275552338522633,-0.173153904868193,0.233753070321909,-0.385423219356009,-0.392442664177348,0.14379926684077,-0.529439115638511,-0.10325387717178,0.256329278238941,-0.362674965016358,-0.176092103845738,0.112007191164446,0.128195376989726,-0.229905396009012,0.163069680173117,-0.515246746497702,-0.0388471029921479,0.118848301528563,-0.0848917180748349,-0.0704427925177171,0.39133421502072
25,1.70863558712773,1.59492425669903,1.60095335610559,1.25047549893407,1.65742319261032,1.69514303013231,1.35331810685985,1.77406717172177,1.75527919295322,1.24174253489515,1.64059772136675,1.59280672405532,1.30722049312391,1.22718415815065,1.65956680458255,1.36187254367208,1.76341930469893,1.45019321879124,1.30666531052452,1.80119130776763,1.49452837776453,2.00296374769958
27,-0.687686241948801,-0.631254110939465,-0.578181163956746,-0.220430611775624,-0.737520414688751,-0.668506706966609,-0.180911950097659,-0.788046199982975,-0.449509548871232,-0.230673754182884,-0.709881017679008,-0.572546480411858,-0.332183147568304,-0.279681206959155,-0.645078869999646,-0.190060097667093,-0.772771048643501,-0.329161994151506,-0.365418672554481,-0.450941168610761,-0.388699382849111,-0.118871701939661
28,1.28347441228816,1.24787509584989,1.35790095483202,0.77929824073252,0.957574780281128,1.32192620570371,0.873870925807077,1.0058022628559,1.92246276815903,0.531853092861791,1.02016463648622,1.37097527063998,0.308164630924715,0.513841538682842,1.12518989235444,0.476557116157186,1.03784054864457,0.239320557908674,-0.0914042527947979,1.95348830470774,-0.4957604900813,0.103172575465256
29,-0.736719970156882,-0.784827067017656,-0.797956422886919,-0.262545997722477,-0.860132982728958,-0.735996049133201,-0.0635374944484716,-0.823235978316134,-0.726543816605086,-0.184362912255767,-0.855004147459503,-0.795139836196953,-0.356627833953823,-0.194060923482254,-0.907814814809082,0.110736923096868,-0.821137713898525,-0.161332110078741,-0.274176452188834,-0.726366435523298,0.0425685733768748,-0.121075420090957
