region,OLG,L4_5,L5_6,L4_5_6,VIP_RELN,OLG/L4_5,OLG/L5_6,OLG/L4_5_6,OLG/VIP_RELN,L4_5/L5_6,L4_5/VIP_RELN,L5_6/VIP_RELN,L4_5_6/VIP_RELN,VIP_RELN/L5_6,OLG/L4_5/L5_6,OLG/L4_5/VIP_RELN,OLG/L5_6/VIP_RELN,OLG/L4_5_6/VIP_RELN,L4_5/L5_6/VIP_RELN,OLG/L4_5/L5_6/VIP_RELN,OLG/L4_5/L5_6/L4_5_6,OLG/L4_5/L5_6/L4_5_6/VIP_RELN
20,1.03054080548009,0.952623440889451,0.757151193575853,1.00908491532021,0.979486249361718,1.0859307781937,0.526463134844645,1.04827152240964,1.06635680017217,0.646941463682342,0.98157570119689,0.797361699016123,1.08325373992023,0.797361699016123,0.585725314252928,1.11027079313651,0.570598247862164,1.11704389162456,0.687703213045849,0.615564765508739,0.661666657005,0.75378505184629
23,-0.623597727761222,-0.904902914984901,-0.823759364874648,-0.799832173065458,-0.758110681092572,-0.193204990674834,-0.689674510656967,-0.660554837771682,-0.610326936622934,-1.12993610254456,-0.929385556503915,-0.812140299262462,-0.80399223033343,-0.812140299262462,-0.247055274640694,-0.23348766529316,-0.679862815011103,-0.676207338234199,-1.14252861366215,-0.27361523556322,-0.0271902414285462,-0.0258095487247223
24,0.840983154970044,0.603044960085017,0.549367704359495,0.582522012733211,0.573727871808821,0.959915719468539,1.00211908364434,0.806870807389177,0.843948053551803,0.573147276197876,0.59822099738751,0.54552265868682,0.568794949617385,0.54552265868682,1.13311129473189,0.948797618388769,1.00231474959267,0.780621373774182,0.5709217624758,1.12355012542486,1.15062022936375,1.1369779718517
25,-1.36960510536747,-1.08286895856782,-0.973890113751554,-1.3342792661934,-0.593478689225401,-1.59874451572263,-1.24780332325017,-1.44797346387576,-0.76953839030819,-0.858518390632838,-0.478491275308378,-0.554227843303981,-0.486514315660488,-0.554227843303981,-1.49398563666866,-1.06463595502032,-0.810170592138691,-0.661171138888504,-0.332548644121865,-1.13630900173224,-1.93891720404647,-1.24886674855319
27,-1.85175139081114,-1.82312679582596,-1.32667230859743,-1.81587117921829,-1.49969721602855,-1.50220099933432,-1.24139414751901,-1.92077944557437,-1.72840346587197,-1.58007198561613,-1.73810593906556,-1.25746796800169,-1.69730309349762,-1.25746796800169,-0.884032220332553,-1.440480746558,-1.17297129526867,-1.80942796316025,-1.51765206544219,-0.858807317620181,-0.794757833316218,-0.713707101891931
28,1.88041367558572,1.26547230001198,1.07401449739773,1.55665363419709,0.732144660531849,2.10190420304843,2.31833532778176,1.97891525688045,1.3979895206572,1.22682861046274,0.785358256960726,0.718680007513981,0.934224068835237,0.718680007513981,2.56583392912499,1.66854580320698,1.95361671276469,1.37986779464039,0.803126077690714,2.2649261692571,3.12239150814756,2.59803369989335
29,-0.0119983378140915,-0.318932251057665,-0.626205421383792,-0.327841878080727,-0.317781119962382,0.0357915606693108,-0.330475505398736,-0.0276222271203838,0.108652370328346,-0.579922129599778,-0.197329066200763,-0.531858798229574,-0.132954272224491,-0.531858798229574,-0.284187364479161,0.1321864375963,-0.231889188338452,0.130977208110274,-0.460289003977621,-0.211430483288966,-0.32069696137777,-0.164761960062778
30,-0.370636519570732,-0.0392064827176904,0.411856015315524,-0.133743206936491,0.260382611678492,-0.367237620987626,0.202887596655013,-0.416723997206797,-0.179640475902874,0.348317144587433,0.137434729313706,0.529148656187391,0.0959911313189125,0.529148656187391,0.209910355074698,-0.206265682830968,0.327129456188094,-0.185682667008763,0.487722317553303,0.305739795480579,0.109813448250639,0.301963552262976
31,-0.484393985692657,-0.422948890997676,-0.253990341980945,-0.485724904308515,-0.315988039028574,-0.506845491489006,-0.0786817677322177,-0.511194193799496,-0.372570291795002,-0.187919059625952,-0.312289389177956,-0.187594035720048,-0.339728753001498,-0.187594035720048,-0.101051160558002,-0.409856538684806,-0.00875985053004281,-0.376041670502164,-0.100699858679199,-0.045164917909928,-0.177648380253527,-0.0714760905288901
32,0.264605619379411,0.712893046734147,0.980794822174701,0.954916945740433,0.912355283745246,0.281741163548715,-0.00980507310440165,0.383276350573096,0.269876697158014,0.692705836275865,0.702116901302495,0.993751215252132,1.0365322317467,0.993751215252132,0.00692885563977575,0.284323631319214,0.00274988900316494,0.500341878481118,0.68487400833877,0.0153740186627995,0.374107720370032,0.499015374008641
